Name,Date,Active cases
AnHui,2020/6/1,0 
AnHui,2020/5/31,0 
AnHui,2020/5/30,0 
AnHui,2020/5/29,0 
AnHui,2020/5/28,0 
AnHui,2020/5/27,0 
AnHui,2020/5/26,0 
AnHui,2020/5/25,0 
AnHui,2020/5/24,0 
AnHui,2020/5/23,0 
AnHui,2020/5/22,0 
AnHui,2020/5/21,0 
AnHui,2020/5/20,0 
AnHui,2020/5/19,0 
AnHui,2020/5/18,0 
AnHui,2020/5/17,0 
AnHui,2020/5/16,0 
AnHui,2020/5/15,0 
AnHui,2020/5/14,0 
AnHui,2020/5/13,0 
AnHui,2020/5/12,0 
AnHui,2020/5/11,0 
AnHui,2020/5/10,0 
AnHui,2020/5/9,0 
AnHui,2020/5/8,0 
AnHui,2020/5/7,0 
AnHui,2020/5/6,0 
AnHui,2020/5/5,0 
AnHui,2020/5/4,0 
AnHui,2020/5/3,0 
AnHui,2020/5/2,0 
AnHui,2020/5/1,0 
AnHui,2020/4/30,0 
AnHui,2020/4/29,0 
AnHui,2020/4/28,0 
AnHui,2020/4/27,0 
AnHui,2020/4/26,0 
AnHui,2020/4/25,0 
AnHui,2020/4/24,0 
AnHui,2020/4/23,1 
AnHui,2020/4/22,1 
AnHui,2020/4/21,1 
AnHui,2020/4/20,1 
AnHui,2020/4/19,1 
AnHui,2020/4/18,1 
AnHui,2020/4/17,1 
AnHui,2020/4/16,1 
AnHui,2020/4/15,1 
AnHui,2020/4/14,1 
AnHui,2020/4/13,1 
AnHui,2020/4/12,1 
AnHui,2020/4/11,1 
AnHui,2020/4/10,1 
AnHui,2020/4/9,1 
AnHui,2020/4/8,0 
AnHui,2020/4/7,0 
AnHui,2020/4/6,0 
AnHui,2020/4/5,0 
AnHui,2020/4/4,0 
AnHui,2020/4/3,0 
AnHui,2020/4/2,0 
AnHui,2020/4/1,0 
AnHui,2020/3/31,0 
AnHui,2020/3/30,0 
AnHui,2020/3/29,0 
AnHui,2020/3/28,0 
AnHui,2020/3/27,0 
AnHui,2020/3/26,0 
AnHui,2020/3/25,0 
AnHui,2020/3/24,0 
AnHui,2020/3/23,0 
AnHui,2020/3/22,0 
AnHui,2020/3/21,0 
AnHui,2020/3/20,0 
AnHui,2020/3/19,0 
AnHui,2020/3/18,0 
AnHui,2020/3/17,0 
AnHui,2020/3/16,0 
AnHui,2020/3/15,0 
AnHui,2020/3/14,0 
AnHui,2020/3/13,0 
AnHui,2020/3/12,0 
AnHui,2020/3/11,0 
AnHui,2020/3/10,0 
AnHui,2020/3/9,0 
AnHui,2020/3/8,0 
AnHui,2020/3/7,5 
AnHui,2020/3/6,5 
AnHui,2020/3/5,14 
AnHui,2020/3/4,28 
AnHui,2020/3/3,48 
AnHui,2020/3/2,67 
AnHui,2020/3/1,111 
AnHui,2020/2/29,116 
AnHui,2020/2/28,163 
AnHui,2020/2/27,191 
AnHui,2020/2/26,239 
AnHui,2020/2/25,271 
AnHui,2020/2/24,320 
AnHui,2020/2/23,346 
AnHui,2020/2/22,386 
AnHui,2020/2/21,443 
AnHui,2020/2/20,507 
AnHui,2020/2/19,567 
AnHui,2020/2/18,615 
AnHui,2020/2/17,687 
AnHui,2020/2/16,701 
AnHui,2020/2/15,723 
AnHui,2020/2/14,735 
AnHui,2020/2/13,748 
AnHui,2020/2/12,758 
AnHui,2020/2/11,751 
AnHui,2020/2/10,739 
AnHui,2020/2/9,706 
AnHui,2020/2/8,674 
AnHui,2020/2/7,618 
AnHui,2020/2/6,557 
AnHui,2020/2/5,507 
AnHui,2020/2/4,460 
AnHui,2020/2/3,394 
AnHui,2020/2/2,333 
AnHui,2020/2/1,292 
AnHui,2020/1/31,234 
AnHui,2020/1/30,198 
AnHui,2020/1/29,150 
AnHui,2020/1/28,106 
AnHui,2020/1/27,70 
AnHui,2020/1/26,60 
AnHui,2020/1/25,39 
AnHui,2020/1/24,15 
AnHui,2020/1/23,9 
AnHui,2020/1/22,1 
BeiJing,2020/6/1,3 
BeiJing,2020/5/31,3 
BeiJing,2020/5/30,3 
BeiJing,2020/5/29,3 
BeiJing,2020/5/28,3 
BeiJing,2020/5/27,3 
BeiJing,2020/5/26,3 
BeiJing,2020/5/25,3 
BeiJing,2020/5/24,3 
BeiJing,2020/5/23,3 
BeiJing,2020/5/22,5 
BeiJing,2020/5/21,6 
BeiJing,2020/5/20,6 
BeiJing,2020/5/19,6 
BeiJing,2020/5/18,6 
BeiJing,2020/5/17,6 
BeiJing,2020/5/16,7 
BeiJing,2020/5/15,8 
BeiJing,2020/5/14,10 
BeiJing,2020/5/13,10 
BeiJing,2020/5/12,11 
BeiJing,2020/5/11,13 
BeiJing,2020/5/10,16 
BeiJing,2020/5/9,19 
BeiJing,2020/5/8,24 
BeiJing,2020/5/7,24 
BeiJing,2020/5/6,27 
BeiJing,2020/5/5,29 
BeiJing,2020/5/4,30 
BeiJing,2020/5/3,31 
BeiJing,2020/5/2,37 
BeiJing,2020/5/1,37 
BeiJing,2020/4/30,37 
BeiJing,2020/4/29,42 
BeiJing,2020/4/28,46 
BeiJing,2020/4/27,48 
BeiJing,2020/4/26,59 
BeiJing,2020/4/25,60 
BeiJing,2020/4/24,60 
BeiJing,2020/4/23,61 
BeiJing,2020/4/22,67 
BeiJing,2020/4/21,69 
BeiJing,2020/4/20,71 
BeiJing,2020/4/19,75 
BeiJing,2020/4/18,76 
BeiJing,2020/4/17,76 
BeiJing,2020/4/16,82 
BeiJing,2020/4/15,87 
BeiJing,2020/4/14,90 
BeiJing,2020/4/13,97 
BeiJing,2020/4/12,102 
BeiJing,2020/4/11,107 
BeiJing,2020/4/10,111 
BeiJing,2020/4/9,116 
BeiJing,2020/4/8,125 
BeiJing,2020/4/7,131 
BeiJing,2020/4/6,136 
BeiJing,2020/4/5,137 
BeiJing,2020/4/4,139 
BeiJing,2020/4/3,142 
BeiJing,2020/4/2,150 
BeiJing,2020/4/1,154 
BeiJing,2020/3/31,154 
BeiJing,2020/3/30,154 
BeiJing,2020/3/29,157 
BeiJing,2020/3/28,155 
BeiJing,2020/3/27,153 
