Name,Date,Active cases,,,,,,,
湖北省,2020/6/1,3,,,,,,,
湖北省,2020/5/31,3,,,,,,,
湖北省,2020/5/30,4,,,,,,,
湖北省,2020/5/29,4,,,,,,,
湖北省,2020/5/28,5,,,,,,,
湖北省,2020/5/27,5,,,,,,,
湖北省,2020/5/26,5,,,,,,,
湖北省,2020/5/25,6,,,,,,,
湖北省,2020/5/24,6,,,,,,,
湖北省,2020/5/23,7,,,,,,,
湖北省,2020/5/22,7,,,,,,,
湖北省,2020/5/21,7,,,,,,,
湖北省,2020/5/20,7,,,,,,,
湖北省,2020/5/19,7,,,,,,,
湖北省,2020/5/18,7,,,,,,,
湖北省,2020/5/17,6,,,,,,,
湖北省,2020/5/16,6,,,,,,,
湖北省,2020/5/15,6,,,,,,,
湖北省,2020/5/14,6,,,,,,,
湖北省,2020/5/13,6,,,,,,,
湖北省,2020/5/12,6,,,,,,,
湖北省,2020/5/11,6,,,,,,,
湖北省,2020/5/10,6,,,,,,,
湖北省,2020/5/9,1,,,,,,,
湖北省,2020/5/8,0,,,,,,,
湖北省,2020/5/7,0,,,,,,,
湖北省,2020/5/6,0,,,,,,,
湖北省,2020/5/5,0,,,,,,,
湖北省,2020/5/4,0,,,,,,,
湖北省,2020/5/3,0,,,,,,,
湖北省,2020/5/2,0,,,,,,,
湖北省,2020/5/1,0,,,,,,,
湖北省,2020/4/30,0,,,,,,,
湖北省,2020/4/29,0,,,,,,,
湖北省,2020/4/28,0,,,,,,,
湖北省,2020/4/27,0,,,,,,,
湖北省,2020/4/26,0,,,,,,,
湖北省,2020/4/25,12,,,,,,,
湖北省,2020/4/24,23,,,,,,,
湖北省,2020/4/23,47,,,,,,,
湖北省,2020/4/22,97,,,,,,,
湖北省,2020/4/21,102,,,,,,,
湖北省,2020/4/20,105,,,,,,,
湖北省,2020/4/19,109,,,,,,,
湖北省,2020/4/18,122,,,,,,,
湖北省,2020/4/17,129,,,,,,,
湖北省,2020/4/16,146,,,,,,,
湖北省,2020/4/15,179,,,,,,,
湖北省,2020/4/14,219,,,,,,,
湖北省,2020/4/13,244,,,,,,,
湖北省,2020/4/12,303,,,,,,,
湖北省,2020/4/11,320,,,,,,,
湖北省,2020/4/10,351,,,,,,,
湖北省,2020/4/9,401,,,,,,,
湖北省,2020/4/8,448,,,,,,,
湖北省,2020/4/7,518,,,,,,,
湖北省,2020/4/6,577,,,,,,,
湖北省,2020/4/5,648,,,,,,,
湖北省,2020/4/4,834,,,,,,,
湖北省,2020/4/3,987,,,,,,,
湖北省,2020/4/2,1132,,,,,,,
湖北省,2020/4/1,1283,,,,,,,
湖北省,2020/3/31,1461,,,,,,,
湖北省,2020/3/30,1726,,,,,,,
湖北省,2020/3/29,2049,,,,,,,
湖北省,2020/3/28,2526,,,,,,,
湖北省,2020/3/27,2895,,,,,,,
湖北省,2020/3/26,3431,,,,,,,
湖北省,2020/3/25,3827,,,,,,,
湖北省,2020/3/24,4317,,,,,,,
湖北省,2020/3/23,4765,,,,,,,
湖北省,2020/3/22,5223,,,,,,,
湖北省,2020/3/21,5715,,,,,,,
湖北省,2020/3/20,6285,,,,,,,
湖北省,2020/3/19,6988,,,,,,,
湖北省,2020/3/18,7751,,,,,,,
湖北省,2020/3/17,8685,,,,,,,
湖北省,2020/3/16,9557,,,,,,,
湖北省,2020/3/15,10421,,,,,,,
湖北省,2020/3/14,11755,,,,,,,
湖北省,2020/3/13,13171,,,,,,,
湖北省,2020/3/12,14407,,,,,,,
湖北省,2020/3/11,15593,,,,,,,
湖北省,2020/3/10,16993,,,,,,,
湖北省,2020/3/9,18247,,,,,,,
湖北省,2020/3/8,19486,,,,,,,
湖北省,2020/3/7,21207,,,,,,,
湖北省,2020/3/6,22628,,,,,,,
湖北省,2020/3/5,23972,,,,,,,
湖北省,2020/3/4,25904,,,,,,,
湖北省,2020/3/3,28174,,,,,,,
湖北省,2020/3/2,30366,,,,,,,
湖北省,2020/3/1,32610,,,,,,,
湖北省,2020/2/29,34617,,,,,,,
湖北省,2020/2/28,36829,,,,,,,
湖北省,2020/2/27,39572,,,,,,,
湖北省,2020/2/26,41603,,,,,,,
湖北省,2020/2/25,43252,,,,,,,
湖北省,2020/2/24,45044,,,,,,,
湖北省,2020/2/23,46395,,,,,,,
湖北省,2020/2/22,46439,,,,,,,
湖北省,2020/2/21,48637,,,,,,,
湖北省,2020/2/20,48510,,,,,,,
湖北省,2020/2/19,49665,,,,,,,
湖北省,2020/2/18,50633,,,,,,,
湖北省,2020/2/17,50338,,,,,,,
湖北省,2020/2/16,49847,,,,,,,
湖北省,2020/2/15,49030,,,,,,,
湖北省,2020/2/14,48175,,,,,,,
湖北省,2020/2/13,43437,,,,,,,
湖北省,2020/2/12,29612,,,,,,,
湖北省,2020/2/11,29659,,,,,,,
湖北省,2020/2/10,28532,,,,,,,
湖北省,2020/2/9,26965,,,,,,,
湖北省,2020/2/8,24881,,,,,,,
湖北省,2020/2/7,23139,,,,,,,
湖北省,2020/2/6,20677,,,,,,,
湖北省,2020/2/5,18483,,,,,,,
湖北省,2020/2/4,15677,,,,,,,
湖北省,2020/2/3,12722,,,,,,,
湖北省,2020/2/2,10532,,,,,,,
湖北省,2020/2/1,6736,,,,,,,
湖北省,2020/1/31,5461,,,,,,,
湖北省,2020/1/30,4651,,,,,,,
湖北省,2020/1/29,3341,,,,,,,
湖北省,2020/1/28,3349,,,,,,,
湖北省,2020/1/27,1302,,,,,,,
湖北省,2020/1/26,964,,,,,,,
湖北省,2020/1/25,689,,,,,,,
湖北省,2020/1/24,494,,,,,,,
湖北省,2020/1/23,798,,,,,,,
湖北省,2020/1/22,399,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
